loss,run_time,iteration,K,predict_decay,similarity,delta,ndcg,window_hours
-0.007476640242312962,10.594574689865112,0,994.0,0.013141649816358634,0,54235.95993709379,0.007476640242312962,15.065544426970495
-0.12015157855369463,22.94567608833313,1,406.0,5.0183219973258444e-05,1,32531.32219314095,0.12015157855369463,9.036478386983598
-0.015522963157338261,8.659603595733643,2,192.0,0.004966908783402762,0,97315.73863697978,0.015522963157338261,27.032149621383272
-0.00018034045984134672,8.092210054397583,3,269.0,0.10744715331472592,1,529888.027491518,0.00018034045984134672,147.19111874764388
-0.13942682028071174,31.45281457901001,4,446.0,1.1412271634996975e-09,1,311243.130904661,0.13942682028071174,86.45642525129473
-0.14395664175923306,49.9756875038147,5,767.0,9.424793728002433e-05,0,619617.4966272844,0.14395664175923306,172.11597128535678
-3.6808345321447805e-05,6.718875169754028,6,507.0,0.18509760004904768,0,23911.039641994088,3.6808345321447805e-05,6.641955456109469
-0.028802433868568424,12.704450368881226,7,265.0,0.0022208335236780768,0,285549.32810977555,0.028802433868568424,79.31925780827099
-0.08403934985123035,11.562194347381592,8,676.0,3.615744258547353e-06,1,9144.125107030246,0.08403934985123035,2.540034751952846
-0.0025947553774955416,5.417529344558716,9,800.0,0.010529500922682462,1,8567.885297705661,0.0025947553774955416,2.3799681382515727
-2.0886501212758888e-05,5.805581092834473,10,528.0,0.21478265633994129,0,16288.136628201266,2.0886501212758888e-05,4.524482396722574
-0.054767605399862446,7.48362922668457,11,52.0,1.290886600745696e-08,1,3130.5678740307535,0.054767605399862446,0.8696021872307649
-0.00011586016643389284,9.856559038162231,12,453.0,0.14021185693745958,0,410690.267710484,0.00011586016643389284,114.08062991957888
-0.1269056487481447,30.58019518852234,13,518.0,2.3770970230097823e-05,0,54738.49161348316,0.1269056487481447,15.205136559300877
-0.056356948183402825,8.144331216812134,14,328.0,4.964742844809565e-07,0,4051.496123173471,0.056356948183402825,1.1254155897704086
-0.046371166501144576,7.1277642250061035,15,250.0,0.0004500886881911135,0,2240.0065040377094,0.046371166501144576,0.6222240288993637
-0.0637131912377686,8.873068809509277,16,915.0,1.0053470093079576e-10,0,5330.201522683914,0.0637131912377686,1.480611534078865
-0.12588665305145594,29.726409435272217,17,496.0,2.880012278466652e-06,0,51766.6976235595,0.12588665305145594,14.379638228766527
-0.1283793647113465,36.33484745025635,18,953.0,1.982800059844221e-09,1,79793.18234825593,0.1283793647113465,22.164772874515535
-0.001432808618222657,11.481874227523804,19,830.0,0.04788846311102887,1,304342.0599548893,0.001432808618222657,84.53946109858036
-0.13913808105981929,54.63753271102905,20,652.0,3.964958922233489e-08,1,2919568.7572787316,0.13913808105981929,810.9913214663143
-0.14088127451901722,48.825286626815796,21,636.0,1.2601980071977572e-10,1,1614374.071105621,0.14088127451901722,448.4372419737836
-0.1333205084998954,77.53179383277893,22,646.0,0.00022189865031243037,1,13154237.761056744,0.1333205084998954,3653.9549336268733
-0.14097174502911267,52.66053485870361,23,737.0,2.206778647833743e-07,1,1496430.9575079165,0.14097174502911267,415.6752659744212
-0.13403192645496642,89.20924496650696,24,772.0,1.615932678542133e-07,0,10878908.26501454,0.13403192645496642,3021.918962504039
-0.14125220947816508,56.849786043167114,25,879.0,5.332062040061237e-07,1,1258872.6426846934,0.14125220947816508,349.6868451901926
-0.1387329414639615,86.44353795051575,26,859.0,0.00014098201798616732,0,6948750.631324209,0.1387329414639615,1930.2085087011692
-0.14284992560156654,55.248995304107666,27,892.0,3.798742737274433e-06,1,1123015.4765122046,0.14284992560156654,311.9487434756124
-0.14026836745880122,83.78912949562073,28,992.0,6.385056706649311e-06,0,4155906.7049709195,0.14026836745880122,1154.4185291585889
-0.03775798542111289,26.86689782142639,29,980.0,0.0019509961965261586,1,764067.6855175109,0.03775798542111289,212.24102375486413
-0.12960439363511836,65.45165610313416,30,723.0,0.000649102234291114,0,3606961.457296123,0.12960439363511836,1001.9337381378119
-0.13540468835315186,41.046611070632935,31,916.0,4.410992679828853e-05,1,157422.97751940656,0.13540468835315186,43.72860486650182
-0.13598117521353437,37.135953426361084,32,590.0,1.8579067257479838e-05,0,178826.79564170388,0.13598117521353437,49.6741099004733
-1.2485306826926894e-05,11.449485063552856,33,585.0,0.7341612656628368,1,673901.2512273872,1.2485306826926894e-05,187.19479200760756
-0.14204245673219967,64.29003858566284,34,721.0,9.677995860357684e-07,0,2516277.6428940985,0.14204245673219967,698.9660119150274
-0.1362097414593238,22.974647998809814,35,101.0,2.9936961446067544e-08,1,6685385.657913326,0.1362097414593238,1857.0515716425907
-0.14504942744954855,37.29409098625183,36,373.0,7.42919508134655e-05,0,1023272.8736640839,0.14504942744954855,284.24246490669
-0.02737626800995875,13.188578128814697,37,360.0,0.0021498675235012018,0,164127.73833074316,0.02737626800995875,45.591038425206435
-0.0033916860615645084,10.224933624267578,38,399.0,0.03140576317384288,0,477243.9464848786,0.0033916860615645084,132.56776291246626
-0.11523201395930453,18.2212073802948,39,200.0,0.00011607942773380222,0,27849.57745398802,0.11523201395930453,7.735993737218894
-0.015795094637415893,7.604846954345703,40,118.0,0.004885243285728767,0,100244.76879435759,0.015795094637415893,27.845769109543774
-1.406629708589569e-05,12.721105575561523,41,588.0,0.6152322022080401,0,818872.4604004517,1.406629708589569e-05,227.4645723334588
-0.12592827858631478,34.225210189819336,42,320.0,0.0006666327872146943,0,2308239.775456161,0.12592827858631478,641.177715404489
-0.010435281110924108,11.252798795700073,43,444.0,0.008958618026833856,0,233309.25757703691,0.010435281110924108,64.80812710473248
-0.10367022154230134,15.737387418746948,44,180.0,5.2137247891613086e-05,0,17813.406066335407,0.10367022154230134,4.948168351759835
-0.1386484940585029,49.295607805252075,45,397.0,1.5629233509658813e-06,0,5841575.789854494,0.1386484940585029,1622.6599416262484
-0.12194149844635498,27.209741830825806,46,482.0,1.4417970327138542e-05,0,40697.185680074974,0.12194149844635498,11.304773800020826
-0.14062761835754106,28.36523699760437,47,285.0,2.999997324450783e-09,0,386343.39385479916,0.14062761835754106,107.31760940411088
-0.002138284519291393,9.663145542144775,48,794.0,0.03634859033161807,0,80938.45369782031,0.002138284519291393,22.482903804950087
-0.14342605790940177,42.135411739349365,49,546.0,5.748089371220654e-05,0,579065.381554134,0.14342605790940177,160.8514948761483
-0.13606158950691455,31.94235324859619,50,440.0,0.00034115497392963007,0,120150.5627153182,0.13606158950691455,33.37515630981061
-0.0642211125812295,20.42520761489868,51,219.0,0.0012844645559957361,0,1920046.2088688945,0.0642211125812295,533.3461691302484
-0.1437192790172903,13.367985010147095,52,53.0,1.3752296069238455e-07,0,951247.1049822383,0.1437192790172903,264.2353069395106
-0.08194033454024416,11.979225635528564,53,685.0,6.513188984298768e-06,0,9648.046983499438,0.08194033454024416,2.6800130509720663
-0.13824303414556255,30.89106297492981,54,359.0,3.4093646601883896e-10,0,241305.91803187307,0.13824303414556255,67.0294216755203
-0.12772470781760675,31.69927406311035,55,553.0,7.1226908715480634e-09,0,58236.403415409055,0.12772470781760675,16.176778726502516
-0.014138813410171862,19.085951328277588,56,140.0,0.006770014476648405,0,9744166.002739893,0.014138813410171862,2706.7127785388593
-0.0002240510439310976,15.335713148117065,57,289.0,0.10046719286425777,0,4741849.402949604,0.0002240510439310976,1317.1803897082234
