loss,run_time,iteration,K,fit_decay,predict_decay,delta,ndcg,window_hours
-0.01887235514343828,46.16618537902832,0,663.0,2.2265876419965458e-05,3.3112517129009183e-06,456469.01123673544,0.01887235514343828,126.79694756575985
-0.005129724113728167,5.054356098175049,1,307.0,0.004164976796468625,1.2858608600409063e-08,6800.2934803932585,0.005129724113728167,1.8889704112203496
-4.759330298851742e-06,4.081336975097656,2,531.0,4.737088168665961e-09,0.266782964131583,4288.252530715424,4.759330298851742e-06,1.1911812585320622
-0.0006112776875110736,4.37963342666626,3,917.0,0.7647082594156303,8.295956556875649e-08,2944.4037475692567,0.0006112776875110736,0.817889929880349
-0.0,4.1057655811309814,4,225.0,0.02261924867149839,0.586090861835456,2382.0875197651135,0.0,0.6616909777125315
-0.00023348324280619267,4.098428249359131,5,965.0,0.5799800933773804,0.0023804057188405144,7185.445679357608,0.00023348324280619267,1.995957133154891
-0.0035780145694306043,41.536558389663696,6,895.0,3.1465295864579614e-08,0.015156094638936548,1656280.8737402768,0.0035780145694306043,460.0780204834102
-0.02217996586242172,15.135793924331665,7,452.0,1.034947638664497e-10,3.5206984499739396e-05,96206.05001271362,0.02217996586242172,26.723902781309338
-0.012164507401970814,7.500434398651123,8,51.0,0.0006499592450398909,0.00011845161119988443,45707.717085399505,0.012164507401970814,12.69658807927764
-0.013712344539726048,44.881781578063965,9,424.0,0.0002570452633675918,0.0002041191113885436,1729899.8376269815,0.013712344539726048,480.52773267416154
-0.0,5.752493381500244,10,853.0,0.07629875387035502,0.3476791224423686,2844978.53275409,0.0,790.2718146539139
-0.015026439840017647,11.682706356048584,11,636.0,7.297877072563748e-05,0.0005141407546207914,100598.91860919428,0.015026439840017647,27.944144058109522
-0.0001869681056276326,4.212563753128052,12,426.0,0.03639567393195893,0.02065964743510145,13789.690789098764,0.0001869681056276326,3.830469663638546
-0.0023197640559846906,4.3987321853637695,13,126.0,0.13900286895499045,0.0004214455704076165,15058.129604753285,0.0023197640559846906,4.182813779098135
-0.00865700597930185,8.027086734771729,14,841.0,0.003979319293997852,1.5646853701239841e-06,19561.7184221078,0.00865700597930185,5.433810672807722
-4.606204488038228e-05,4.23164963722229,15,841.0,0.7638049040337165,0.006948296507060871,389055.9789017147,4.606204488038228e-05,108.07110525047631
-0.024717487190520224,22.716325044631958,16,337.0,5.355523015678558e-07,7.948009564205538e-09,190654.69156946577,0.024717487190520224,52.95963654707382
-0.0,3.9988009929656982,17,717.0,3.904603707345379e-05,0.528936765055408,3054.9858692957746,0.0,0.8486071859154929
-0.049589033582706964,30.059842586517334,18,93.0,1.0150137027736285e-09,1.9259330758776637e-10,12810017.256029114,0.049589033582706964,3558.3381266747538
-0.006360498695812297,4.923972129821777,19,528.0,3.3048332892768735e-08,2.10911066265217e-05,7078.499244006335,0.006360498695812297,1.9662497900017597
-0.042870476396798765,51.7010555267334,20,253.0,8.034251621789623e-07,1.1492263542564505e-10,10172803.071765468,0.042870476396798765,2825.7786310459633
-0.0494821745063377,25.05236029624939,21,56.0,1.5494231188692524e-10,1.3777184311375103e-10,10867852.941500667,0.0494821745063377,3018.848039305741
-0.04972571394400066,23.82984495162964,22,63.0,1.4759606429139243e-10,5.504877213749113e-10,8963880.825951438,0.04972571394400066,2489.966896097622
-0.0508665859144277,31.50700545310974,23,148.0,7.622642318918902e-10,8.768190321029988e-10,5744258.671436018,0.0508665859144277,1595.6274087322272
-0.050847002545909625,33.32082986831665,24,165.0,5.562740302677205e-10,2.0929007540787617e-09,5178669.811390843,0.050847002545909625,1438.519392053012
-0.03951961747166412,35.99277400970459,25,184.0,1.1348653226137685e-06,1.746669036296189e-09,4013987.3713832153,0.03951961747166412,1114.996492050893
-0.0389047569519725,25.245678424835205,26,151.0,1.6385100229610237e-09,2.354043287053888e-07,653151.4690616701,0.0389047569519725,181.4309636282417
-0.053848971629322125,51.532437324523926,27,314.0,4.388172936355876e-08,8.985513331126474e-08,5104491.730878486,0.053848971629322125,1417.9143696884685
-0.04578138062123579,39.684088706970215,28,313.0,2.7281537933756247e-08,2.3662021560067814e-06,749213.2916738606,0.04578138062123579,208.11480324273907
-0.030143196454579343,27.607717275619507,29,380.0,1.7491686541928204e-07,2.1383621838196184e-07,258132.2430890357,0.030143196454579343,71.70340085806548
-0.02832443339298459,39.18066143989563,30,269.0,4.167178631513479e-06,3.3234476484119886e-08,1137724.0866930974,0.02832443339298459,316.0344685258604
-0.05893501220554957,83.81794309616089,31,598.0,6.977816493539056e-09,4.776992545612844e-07,5858455.655240253,0.05893501220554957,1627.3487931222924
-0.05703429123667753,80.63672876358032,32,634.0,1.3309094309755653e-07,6.893592992633565e-07,2781049.763031992,0.05703429123667753,772.5138230644422
-0.05743380040826042,81.29499363899231,33,660.0,4.661447805576487e-09,9.104843320445474e-07,2434117.82067603,0.05743380040826042,676.143839076675
-0.03991723474201384,47.83023142814636,34,722.0,4.578421195565142e-09,4.0581371085314874e-06,412875.2829650477,0.03991723474201384,114.68757860140214
-0.04321057074984346,65.56020426750183,35,572.0,6.232801534021937e-09,1.2433476143040092e-08,1289918.7707793578,0.04321057074984346,358.3107696609327
-0.061083745778372986,91.95078921318054,36,762.0,8.044298322026483e-09,8.461238073921714e-06,2866009.9655815135,0.061083745778372986,796.1138793281982
-0.030650582233299962,70.99708127975464,37,977.0,6.6271340162840756e-06,6.46775946825928e-06,845071.7107257963,0.030650582233299962,234.74214186827675
-0.040020646601016334,105.5874342918396,38,772.0,2.9362105540711583e-06,1.6495847450937184e-05,7598552.399993016,0.040020646601016334,2110.70899999806
-9.059407270803468e-05,6.229527950286865,39,580.0,1.3083168608930982e-07,0.0973215459281712,76266.0716905403,9.059407270803468e-05,21.18501991403897
-0.035798525604393956,30.848814964294434,40,482.0,1.1190832057468065e-08,6.62383398194558e-05,275522.75234557927,0.035798525604393956,76.53409787377201
-0.007495823570907624,6.600793838500977,41,782.0,2.2655476531166543e-10,0.001624535882114359,43507.89138689276,0.007495823570907624,12.08552538524799
-0.012696344348138964,85.45584917068481,42,898.0,0.00010506792723599885,4.2491466428959357e-07,1650382.7292572903,0.012696344348138964,458.439647015914
-0.010410346483340865,29.407355070114136,43,936.0,0.0029022407317181877,6.054789760459637e-08,3709782.585188496,0.010410346483340865,1030.49516255236
-0.021056358736222053,81.2039303779602,44,583.0,1.6312544457397484e-05,7.924576163533009e-05,7042745.042631829,0.021056358736222053,1956.3180673977304
-0.04242525933626742,54.146788597106934,45,720.0,2.257876577190502e-09,0.0008907825253926284,2165193.9393805815,0.04242525933626742,601.4427609390505
-0.009990859969749135,20.287132263183594,46,481.0,0.0009581782958501268,5.098359108775717e-09,136340.60534228198,0.009990859969749135,37.8723903728561
-0.016427458897042252,8.464236497879028,47,787.0,3.7752976404427246e-07,0.0002250090522420256,33973.57790216556,0.016427458897042252,9.437104972823768
-0.01494866030723911,53.47500014305115,48,615.0,3.7528033601419045e-10,0.003387023586938688,12918066.891028868,0.01494866030723911,3588.3519141746856
-0.05051793454029138,58.732486963272095,49,390.0,1.1256616647064082e-08,2.8197492317810536e-08,3456125.2942682486,0.05051793454029138,960.0348039634024
