loss,run_time,iteration,delta,ndcg,window_hours
-0.0030783265221561206,3.0149242877960205,0,12004826.524535405,0.0030783265221561206,3334.674034593168
-0.003923150657935649,3.0665886402130127,1,25913834.25799605,0.003923150657935649,7198.287293887792
-0.0040856044896831565,3.1399481296539307,2,39242755.879500546,0.0040856044896831565,10900.765522083484
-0.0038217544943624053,3.332277774810791,3,72904025.58040294,0.0038217544943624053,20251.118216778596
-0.003252947952697735,2.9839389324188232,4,14085868.161765859,0.003252947952697735,3912.741156046072
-0.003832148517818634,3.4316318035125732,5,117284019.40867648,0.003832148517818634,32578.89428018791
-0.00302980371829145,2.9652202129364014,6,9635060.656508008,0.00302980371829145,2676.405737918891
-0.003252947952697735,3.007084846496582,7,14109866.744010909,0.003252947952697735,3919.407428891919
-0.004060871620873933,3.1540727615356445,8,34655907.02095673,0.004060871620873933,9626.640839154648
-0.003574964409111426,3.5587539672851562,9,124575083.64065953,0.003574964409111426,34604.1899001832
-0.0032254700457838474,2.9757022857666016,10,8258677.4910110235,0.0032254700457838474,2294.0770808363955
-0.004099416782757927,3.31927490234375,11,75722916.36368668,0.004099416782757927,21034.14343435741
-0.004173137484695439,3.4391629695892334,12,100135909.8421951,0.004173137484695439,27815.53051172086
-0.004076909392612043,3.262651205062866,13,59550644.94042086,0.004076909392612043,16541.84581678357
-0.004032637529151266,3.1018171310424805,14,30957306.241712146,0.004032637529151266,8599.25173380893
-0.003240603491725311,3.601078748703003,15,339597616.6442533,0.003240603491725311,94332.67129007037
-0.0038217544943624053,3.335278034210205,16,70517280.38126324,0.0038217544943624053,19588.133439239788
-0.004111527949466726,3.3673031330108643,17,77528725.67509317,0.004111527949466726,21535.757131970327
-0.0033760906366876197,3.010274887084961,18,10500820.8805152,0.0033760906366876197,2916.894689032
-0.004126733785443869,3.220362901687622,19,52077070.801589,0.004126733785443869,14465.853000441388
-0.003243032366047393,3.5620734691619873,20,319882900.6303408,0.003243032366047393,88856.36128620578
-0.0025774716499235763,2.953432559967041,21,3076366.129844362,0.0025774716499235763,854.5461471789894
-0.003230154454392922,3.529411792755127,22,181415801.57045236,0.003230154454392922,50393.27821401454
-0.003252427540054655,3.582153558731079,23,234668040.64070714,0.003252427540054655,65185.566844640874
-0.0032159297997867375,3.5572197437286377,24,541596708.5029869,0.0032159297997867375,150443.53013971858
-0.0033118577025719365,3.0142087936401367,25,20055132.452026434,0.0033118577025719365,5570.8701255628985
-0.0035597879262572953,3.4441614151000977,26,135758983.81008512,0.0035597879262572953,37710.82883613475
-0.003724513803608674,2.941300630569458,27,3818980.4884905796,0.003724513803608674,1060.8279134696054
-0.0031040198939486364,2.9726948738098145,28,5992606.454913585,0.0031040198939486364,1664.6129041426627
-0.003240603491725311,3.4757742881774902,29,478336679.85632896,0.003240603491725311,132871.2999600914
-0.0032764023135287185,2.99527645111084,30,19008689.28782148,0.0032764023135287185,5280.1914688393
-0.004126733785443869,3.2071292400360107,31,51817418.69607762,0.004126733785443869,14393.727415577117
-0.004072232745340407,3.198239803314209,32,46050746.56588328,0.004072232745340407,12791.874046078688
-0.004173137484695439,3.375863552093506,33,98398448.49058904,0.004173137484695439,27332.902358496955
-0.003240603491725311,3.560905933380127,34,208377379.2103046,0.003240603491725311,57882.60533619572
-0.004156170952695079,3.4775495529174805,35,104174364.24465674,0.004156170952695079,28937.32340129354
-0.0032345641798149504,3.5589451789855957,36,168900202.29112542,0.0032345641798149504,46916.722858645946
-0.003259396136648846,3.5397017002105713,37,293939614.3665627,0.003259396136648846,81649.89287960075
