loss,run_time,iteration,K,normalize_X,similarity,delta,ndcg,window_hours
-0.0037556501353594117,8.954421997070312,0,757.0,1,0,45264572.27616816,0.0037556501353594117,12573.4922989356
-0.0026653116776677566,2.601222515106201,1,380.0,1,1,4008135.3009111574,0.0026653116776677566,1113.370916919766
-0.002157635028705687,2.560645341873169,2,448.0,0,0,4814971.375114115,0.002157635028705687,1337.4920486428098
-0.004882809086937699,10.74189305305481,3,133.0,0,0,218578407.99538225,0.004882809086937699,60716.22444316174
-0.0032029458193991948,2.622504949569702,4,752.0,0,1,4450368.3405947015,0.0032029458193991948,1236.2134279429727
-0.0023456066846615714,2.826277732849121,5,550.0,1,0,10635273.807020318,0.0023456066846615714,2954.2427241723103
-0.008672116736702411,19.992047786712646,6,386.0,1,1,336001245.5014511,0.008672116736702411,93333.67930595863
-0.00482341300419468,10.505937337875366,7,131.0,0,0,181170703.76986983,0.00482341300419468,50325.19549163051
-0.007044861745821616,33.80175042152405,8,954.0,1,0,394188003.19833696,0.007044861745821616,109496.6675550936
-0.008684826157923741,30.326701879501343,9,854.0,1,1,491876591.97648376,0.008684826157923741,136632.3866601344
-0.006970397550813174,17.375558853149414,10,295.0,1,0,447562315.214765,0.006970397550813174,124322.86533743472
-0.004342714298466038,3.495285749435425,11,166.0,0,1,17181403.167758092,0.004342714298466038,4772.611991043915
-0.004792695064987799,7.06213116645813,12,113.0,1,0,66029984.61994974,0.004792695064987799,18341.662394430485
-0.003318768546381923,6.1588757038116455,13,405.0,1,0,33927041.51446407,0.003318768546381923,9424.178198462243
-0.008017939091248445,33.04345631599426,14,924.0,0,1,340648413.1021366,0.008017939091248445,94624.55919503795
-0.0034099587127294287,2.8210134506225586,15,790.0,0,1,7476735.648869643,0.0034099587127294287,2076.8710135749006
-0.0037970937211781837,2.886979341506958,16,503.0,1,1,8912720.520655202,0.0037970937211781837,2475.7557001820005
-0.002935559300484666,2.5990817546844482,17,328.0,0,1,3555781.8630024386,0.002935559300484666,987.717184167344
-0.00705705816480282,32.83755874633789,18,923.0,1,0,543388936.7721231,0.00705705816480282,150941.37132558975
-0.0034099587127294287,2.822923183441162,19,942.0,0,1,7441924.747094484,0.0034099587127294287,2067.2013186373565
-0.008388624430464408,23.591397285461426,20,648.0,1,1,138837952.91188288,0.008388624430464408,38566.098031078574
-0.00801631218780057,13.475445032119751,21,260.0,1,1,99687354.37760624,0.00801631218780057,27690.93177155729
-0.008663241926387776,25.970399379730225,22,616.0,1,1,596414738.4083631,0.008663241926387776,165670.76066898974
-0.008667072884812697,30.44059920310974,23,849.0,1,1,224637453.08428672,0.008667072884812697,62399.29252341298
-0.007771289721178588,16.964417219161987,24,643.0,1,1,81199871.26441862,0.007771289721178588,22555.519795671837
-0.005258299759132153,4.729503631591797,25,222.0,1,1,25189135.946281653,0.005258299759132153,6996.982207300459
-0.008683076042893204,24.068788290023804,26,530.0,1,1,293289025.76684934,0.008683076042893204,81469.17382412481
-0.008404252919001255,24.8844096660614,27,700.0,1,1,139921005.68819836,0.008404252919001255,38866.94602449954
-0.007081750893263329,13.939960718154907,28,861.0,1,1,59874378.558035135,0.007081750893263329,16631.771821676426
