loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.1624938887161081,252.92189192771912,0,366.0,65.0,2151551.0628069346,0.1624938887161081,597.6530730019263
-0.15309733517486515,892.4206681251526,1,881.0,51.0,10366809.21069902,0.15309733517486515,2879.669225194172
-0.15678143664437985,49.117573738098145,2,754.0,66.0,166965.2530557049,0.15678143664437985,46.37923695991803
-0.15902767454337036,384.3767879009247,3,825.0,65.0,3818910.5058368165,0.15902767454337036,1060.8084738435603
-0.14710166731996938,36.14661884307861,4,158.0,28.0,76882.01813457526,0.14710166731996938,21.35611614849313
-0.1532594100929126,846.2286643981934,5,70.0,95.0,10044683.16883948,0.1532594100929126,2790.189769122078
-0.15277159094162882,952.874171257019,6,571.0,28.0,10702775.012319138,0.15277159094162882,2972.9930589775386
-0.16379894646649956,70.19822287559509,7,631.0,89.0,410499.1164872138,0.16379894646649956,114.0275323575594
-0.1327047488165064,29.726109504699707,8,315.0,46.0,31417.607013164383,0.1327047488165064,8.727113059212328
-0.14515795962230968,39.32993769645691,9,532.0,97.0,57239.80734346038,0.14515795962230968,15.89994648429455
-0.16381493236463193,211.1978645324707,10,745.0,67.0,1737804.9973158117,0.16381493236463193,482.72361036550325
-0.15323356052341816,840.7962558269501,11,68.0,33.0,10083182.20285952,0.15323356052341816,2800.8839452387556
-0.03484906639641847,17.207989931106567,12,881.0,44.0,1995.2475360387434,0.03484906639641847,0.5542354266774288
-0.16224212043854383,53.51566433906555,13,99.0,54.0,322163.1305265903,0.16224212043854383,89.48975847960841
-0.1570670945783751,493.4689497947693,14,73.0,27.0,5986782.660392797,0.1570670945783751,1662.9951834424435
-0.15569976848790715,634.6025488376617,15,851.0,41.0,7341122.512473454,0.15569976848790715,2039.2006979092928
-0.11592526378323664,23.63695478439331,16,196.0,90.0,18061.43842512484,0.11592526378323664,5.017066229201345
-0.1641066778437473,73.31389904022217,17,813.0,45.0,523583.24660717946,0.1641066778437473,145.43979072421652
-0.15536795294268896,46.9560170173645,18,987.0,26.0,133713.80582481745,0.15536795294268896,37.14272384022707
-0.1626021892850441,61.89471673965454,19,607.0,27.0,360868.3482960276,0.1626021892850441,100.24120786000766
-0.16454028519021732,142.0621781349182,20,719.0,3.0,1344345.7086981044,0.16454028519021732,373.4293635272512
-0.16512977548434882,116.06539869308472,21,999.0,6.0,958161.9784824067,0.16512977548434882,266.15610513400185
-0.16487875995283266,130.40459299087524,22,950.0,6.0,1062617.3914932618,0.16487875995283266,295.1714976370172
-0.16221875157357518,93.09205365180969,23,435.0,1.0,952070.128980443,0.16221875157357518,264.46392471678973
-0.06822345185332804,20.354872226715088,24,950.0,13.0,6906.478381886749,0.06822345185332804,1.9184662171907636
-0.16549743012677448,113.16678237915039,25,986.0,11.0,807927.6915775333,0.16549743012677448,224.42435877153702
-0.16017924810962803,332.20607137680054,26,965.0,15.0,3211712.444957591,0.16017924810962803,892.1423458215531
-0.16555147347559976,93.67866778373718,27,687.0,16.0,666634.1642337946,0.16555147347559976,185.1761567316096
-0.16159858009371134,276.24225306510925,28,446.0,17.0,2609197.182684537,0.16159858009371134,724.7769951901491
