loss,run_time,iteration,K,fit_decay,predict_decay,delta,ndcg,window_hours
-0.08772655894968545,12.943636655807495,0,144.0,2.693661381196968e-08,4.833270608495013e-09,11143.117359702504,0.08772655894968545,3.09531037769514
-0.11625529300686897,18.230963468551636,1,159.0,7.014277387313297e-09,7.528058812787934e-08,30048.325746311006,0.11625529300686897,8.346757151753057
-1.0624288608205651e-06,4.801906108856201,2,904.0,0.3878307417022429,0.6362836118362074,22507.650539869926,1.0624288608205651e-06,6.252125149963868
-1.103365720645196e-05,5.908430576324463,3,84.0,0.0005541885202114184,0.7386806303661578,104315.46183794562,1.103365720645196e-05,28.976517177207118
-0.033831108575955705,6.962017774581909,4,129.0,0.4178410025610923,1.770631119001694e-08,2233.7424888249666,0.033831108575955705,0.6204840246736019
-0.14574749543167181,82.12704563140869,5,830.0,9.340666168607499e-07,1.4650488316251865e-10,5091264.089294268,0.14574749543167181,1414.2400248039633
-0.06334817410118636,9.531194925308228,6,498.0,2.590787974725201e-06,9.138077042363422e-07,5311.390204145228,0.06334817410118636,1.475386167818119
-0.01621917752122879,9.028316020965576,7,554.0,0.0004646314755895593,0.0014460373592273365,13850.12981649439,0.01621917752122879,3.8472582823595527
-0.13553815034302052,67.37169289588928,8,536.0,7.09538929464019e-06,3.5443223723695218e-09,7262662.084087947,0.13553815034302052,2017.4061344688744
-0.06612546449564902,46.6223030090332,9,577.0,0.0014632465529120112,8.400511273104868e-09,7271860.127639345,0.06612546449564902,2019.9611465664848
-0.01108997183452647,16.100237607955933,10,519.0,0.002458837225246014,0.002595983540407083,1799598.4344126687,0.01108997183452647,499.8884540035191
-0.00017347220998675475,11.022519588470459,11,733.0,5.550501036619019e-07,0.10355328431349944,230209.34205255102,0.00017347220998675475,63.947039459041946
-0.04541218098793164,10.044249773025513,12,894.0,0.07188679585189643,4.195280913025346e-05,11147.305446011364,0.04541218098793164,3.0964737350031566
-0.04637654567473962,11.312686681747437,13,667.0,0.05856178201320263,8.920296090211459e-07,245105.72807624086,0.04637654567473962,68.08492446562246
-0.14705529695344544,52.837520122528076,14,563.0,5.155191281425346e-09,0.00038569573811657396,1499831.3350488313,0.14705529695344544,416.61981529134204
-0.005104752354229458,9.053327560424805,15,668.0,0.03224476286109739,0.0036180792345119985,2168790.591294383,0.005104752354229458,602.4418309151064
-0.05137282424096753,13.609791994094849,16,827.0,0.03250767924539207,0.00022050666145865126,11492.081207782769,0.05137282424096753,3.192244779939658
-0.14698755235636973,52.19661998748779,17,510.0,6.795594510303633e-09,0.0004940562825587237,2031835.938507831,0.14698755235636973,564.3988718077309
-0.033346167790936,7.0821521282196045,18,831.0,0.13923686087112344,0.0006718641164398575,8364.060852603547,0.033346167790936,2.3233502368343184
-0.12042043278559099,26.6868577003479,19,439.0,4.513946202461166e-08,1.041945222128971e-06,37463.41083058648,0.12042043278559099,10.406503008496244
-0.0013315412352702066,9.623772382736206,20,327.0,1.2246482551993045e-10,0.04992208831331246,587898.9293752493,0.0013315412352702066,163.30525815979146
-0.1441676484039949,34.96875715255737,21,329.0,5.438736005062321e-10,1.6252729844702614e-05,931304.7707463742,0.1441676484039949,258.6957696517706
-0.0054488202433033124,30.469748973846436,22,375.0,1.4632339871586781e-09,0.022104685775235593,12218487.26098245,0.0054488202433033124,3394.0242391617917
-0.1419822351064033,63.902456521987915,23,645.0,1.1961541835008165e-10,6.478326592608186e-05,2981303.643893877,0.1419822351064033,828.1399010816325
-0.011013689561574306,10.590785026550293,24,281.0,6.927671891359436e-08,0.010722056830145387,496213.18863914383,0.011013689561574306,137.83699684420662
-0.11454457327497787,45.21404051780701,25,236.0,6.157977706171612e-05,5.501620003580347e-06,14141002.275304135,0.11454457327497787,3928.056187584482
-0.1464380597991992,43.0295147895813,26,434.0,1.6172702457581721e-09,0.00030571393241562013,1216283.2264673205,0.1464380597991992,337.8564517964779
-0.12862784200088168,36.57881474494934,27,739.0,2.919371417855199e-07,4.253201422901285e-06,83172.68501690985,0.12862784200088168,23.103523615808292
-0.14202877369298933,52.08466172218323,28,455.0,9.709757015978753e-09,0.00015356955984333732,3684123.4193153675,0.14202877369298933,1023.367616476491
-0.00010454805237132168,11.905043840408325,29,750.0,1.10434114223913e-07,0.1449963260935029,402244.66577631625,0.00010454805237132168,111.73462938231008
-0.14418526109896676,64.42909598350525,30,968.0,9.901639942506263e-09,1.3952255401993642e-07,1165215.2476984197,0.14418526109896676,323.67090213844995
-1.8193387364417435e-05,9.218872308731079,31,596.0,5.842031293549346e-10,0.3209967268435601,121298.98254492112,1.8193387364417435e-05,33.69416181803364
-0.008172502681391558,26.57082986831665,32,219.0,3.2713404405355784e-05,0.008927066562508273,15545914.322300028,0.008172502681391558,4318.30953397223
-0.12867935367995118,33.6891713142395,33,598.0,2.8759437455962148e-09,1.9825541155767957e-05,67407.3446653207,0.12867935367995118,18.724262407033528
-0.06716967637841871,24.421576023101807,34,385.0,1.0622567507281739e-10,0.0012407960055863204,707598.4000601728,0.06716967637841871,196.55511112782577
-1.1045532801522659e-05,9.707986116409302,35,485.0,2.7678309924494783e-08,0.8473627599971075,308954.2396699437,1.1045532801522659e-05,85.82062213053992
-0.14305566267886816,22.16684365272522,36,84.0,2.0321794621091894e-06,1.0329370244802093e-10,6234950.157814063,0.14305566267886816,1731.9305993927953
-0.14308464010364466,25.32886576652527,37,174.0,3.1474387151769534e-10,1.103029349659677e-07,1812530.3556592222,0.14308464010364466,503.48065434978395
-0.13582935900812537,44.17428398132324,38,986.0,3.7833452647083176e-09,1.998040645973139e-06,166097.03135354957,0.13582935900812537,46.13806426487488
-0.04642669622002968,7.2479448318481445,39,626.0,2.954335320487498e-07,6.559712768079575e-05,2382.441173572908,0.04642669622002968,0.6617892148813633
-0.1332634040628874,80.67873287200928,40,708.0,9.990838922386035e-06,2.6899602905897983e-09,9959511.244034413,0.1332634040628874,2766.5309011206705
-0.09645176677355789,44.104313373565674,41,391.0,0.00015149821546586614,4.660454332099606e-10,4010475.5891746166,0.09645176677355789,1114.020996992949
-0.14346701432688316,54.435877561569214,42,557.0,3.404668892496326e-06,0.0003712570612964227,2458750.6826747735,0.14346701432688316,682.9863007429926
-0.12722467981213342,34.566386699676514,43,771.0,1.389147060996803e-08,3.0649608141770913e-07,56426.17223431891,0.12722467981213342,15.673936731755253
-0.1442561801422562,47.09060525894165,44,506.0,1.5161580230162578e-07,3.982676033634171e-08,1333258.5472581265,0.1442561801422562,370.3495964605907
-0.007209137988817182,8.102051019668579,45,789.0,2.4581719566253083e-05,0.007172833328974523,23404.21101442076,0.007209137988817182,6.50116972622799
-0.0011422119426828874,17.497846364974976,46,688.0,0.004372304722975245,0.03436704845038066,9112693.69035209,0.0011422119426828874,2531.3038028755805
-0.08246468489611823,40.908467054367065,47,860.0,7.83874501400003e-07,0.0011574997880463758,809248.041433241,0.08246468489611823,224.7911226203447
-0.14073304135898526,12.994670629501343,48,54.0,3.533736360116735e-10,0.00011621165937482068,350133.64515477,0.14073304135898526,97.259345876325
-0.02737545947621511,10.27814507484436,49,926.0,0.8541151940255357,8.494924894890027e-06,5135124.42437383,0.02737545947621511,1426.4234512149526
