loss,run_time,iteration,bptt,hidden_size,embedding_size,delta,ndcg,window_hours
-0.09700527686845242,7233.495203495026,0,5.0,68.0,115.0,9231355.127702402,0.09700527686845242,2564.265313250667
-0.09259141857383245,2409.9497089385986,1,5.0,73.0,248.0,1778570.1814201283,0.09259141857383245,494.0472726167023
-0.06643102000031982,989.806492805481,2,7.0,193.0,93.0,64789.477471186205,0.06643102000031982,17.9970770753295
-0.05227483629169727,935.3816721439362,3,5.0,155.0,232.0,42483.24563456862,0.05227483629169727,11.80090156515795
-0.01575091399596176,850.3643207550049,4,5.0,180.0,174.0,11888.168967334394,0.01575091399596176,3.302269157592887
-0.05787225591833763,996.1617646217346,5,2.0,100.0,207.0,83850.01409780188,0.05787225591833763,23.291670582722745
-0.09742062741943647,2749.6345551013947,6,3.0,170.0,218.0,1842812.0411542247,0.09742062741943647,511.8922336539513
-0.009521060275117756,816.7397215366364,7,7.0,130.0,52.0,7316.3013891285245,0.009521060275117756,2.0323059414245903
-0.011504835409630194,833.3913011550903,8,6.0,157.0,57.0,6374.285811752663,0.011504835409630194,1.770634947709073
-0.00716904542856368,826.7960858345032,9,9.0,198.0,158.0,3252.5419958693415,0.00716904542856368,0.9034838877414837
-0.09061152734577317,1848.4691379070282,10,2.0,62.0,111.0,1028251.3129618233,0.09061152734577317,285.6253647116176
-0.05331276250249585,942.5152506828308,11,3.0,240.0,182.0,39744.93827328509,0.05331276250249585,11.040260631468081
-0.10406296788934745,2989.6523067951202,12,9.0,233.0,150.0,2637478.284859594,0.10406296788934745,732.6328569054427
