loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.019881287942495107,20.779662370681763,70,493.0,77.0,362105485.1938668,0.019881287942495107,100584.85699829632
-0.019919744487873006,18.635955572128296,71,554.0,91.0,262836644.92329237,0.019919744487873006,73010.179145359
-0.0202287814112996,21.507319688796997,72,426.0,87.0,402472097.9212067,0.0202287814112996,111797.80497811298
-0.01861460357438622,15.044891595840454,73,707.0,73.0,152682338.25815988,0.01861460357438622,42411.76062726663
-0.019401416792573383,16.324378490447998,74,448.0,85.0,190965209.34480605,0.019401416792573383,53045.89148466835
-0.02023042704998168,21.526454210281372,75,386.0,97.0,408708791.26764226,0.02023042704998168,113530.2197965673
-0.01998897465923983,22.164857625961304,76,369.0,79.0,471798553.3085846,0.01998897465923983,131055.15369682905
-0.019522905790309138,19.791221857070923,77,540.0,95.0,298916196.58774775,0.019522905790309138,83032.27682992994
-0.01918908492845313,8.615180015563965,78,218.0,59.0,80986262.77591059,0.01918908492845313,22496.184104419608
-0.01935252975831868,17.341535568237305,79,473.0,83.0,226499639.5016942,0.01935252975831868,62916.56652824839
-0.019746833456902296,12.785682201385498,80,571.0,97.0,117614076.19719751,0.019746833456902296,32670.576721443755
-0.019971738430035624,22.941912412643433,81,522.0,70.0,630348717.9194325,0.019971738430035624,175096.86608873124
-0.019696221483512057,17.70495629310608,82,328.0,90.0,248250848.06087783,0.019696221483512057,68958.5689057994
-0.01959297321157713,11.09553074836731,83,790.0,49.0,98333085.42991868,0.01959297321157713,27314.745952755187
-0.01956368096305702,12.963601112365723,84,148.0,74.0,128817442.63693431,0.01956368096305702,35782.62295470398
-0.019998295834353776,20.006362915039062,85,392.0,93.0,329005730.74897414,0.019998295834353776,91390.48076360393
-0.019378368237964044,15.441810369491577,86,180.0,82.0,179374272.57209736,0.019378368237964044,49826.1868255826
-0.0056965118724773296,0.9860484600067139,87,588.0,25.0,8735550.43972261,0.0056965118724773296,2426.5417888118363
-0.01988353877894448,22.527923107147217,88,633.0,65.0,491982034.81366825,0.01988353877894448,136661.67633713008
-0.01895237571845069,7.328439235687256,89,271.0,54.0,69502365.17370312,0.01895237571845069,19306.212548250867
-0.01962746086921749,17.19178557395935,90,689.0,14.0,377549641.57333785,0.01962746086921749,104874.90043703829
-0.006666994697544422,1.2206642627716064,91,503.0,88.0,12099997.211681835,0.006666994697544422,3361.1103365782874
-0.014266418947999085,3.592358112335205,92,239.0,71.0,35896126.2328918,0.014266418947999085,9971.146175803276
-0.0033661384950072204,0.6947455406188965,93,401.0,98.0,3897234.667453606,0.0033661384950072204,1082.5651854037794
-0.01890041701146273,14.841501235961914,94,336.0,76.0,156372061.5922277,0.01890041701146273,43436.6837756188
-0.00623845244250164,1.116112232208252,95,378.0,91.0,10018279.049683666,0.00623845244250164,2782.855291578796
-0.01666575628348451,4.9152162075042725,96,943.0,61.0,48972480.79344386,0.01666575628348451,13603.466887067738
-0.014871790765283409,9.89734172821045,97,198.0,1.0,431681851.7936754,0.014871790765283409,119911.62549824317
-0.005327771613379311,0.9536454677581787,98,426.0,95.0,6895386.606222217,0.005327771613379311,1915.3851683950602
-0.008126682967111061,1.4379451274871826,99,285.0,79.0,15051365.367277078,0.008126682967111061,4180.934824243633
-0.01949710638231033,18.312509775161743,100,465.0,38.0,298111528.06143945,0.01949710638231033,82808.75779484429
-0.01912743316518345,16.306340217590332,101,321.0,69.0,201255110.32170123,0.01912743316518345,55904.19731158367
-0.019727527305402028,10.134265184402466,102,254.0,85.0,90969089.8767579,0.019727527305402028,25269.19163243275
-0.02000893904350417,21.790100574493408,103,73.0,98.0,542022210.3419433,0.02000893904350417,150561.72509498423
-0.01991641935028367,21.189632892608643,104,115.0,89.0,461222090.71034044,0.01991641935028367,128117.24741953901
-0.02006374645372082,23.802961111068726,105,606.0,92.0,625111311.891785,0.02006374645372082,173642.0310810514
-0.019394582687533704,17.37898087501526,106,670.0,65.0,225481733.25348806,0.019394582687533704,62633.814792635574
-0.0197630237206182,19.915147304534912,107,482.0,43.0,376147624.98176694,0.0197630237206182,104485.45138382415
-0.019392322446685727,14.019163131713867,108,363.0,81.0,142275448.5945062,0.019392322446685727,39520.95794291839
-0.01964530054924851,17.305466175079346,109,225.0,58.0,253886726.83955243,0.01964530054924851,70524.09078876456
-0.019120074463163904,15.14746642112732,110,129.0,96.0,174296239.67962798,0.019120074463163904,48415.62213323
-0.012627485157128405,2.6003098487854004,111,51.0,78.0,26215610.3435804,0.012627485157128405,7282.113984327889
-0.019446382023754236,12.0673246383667,112,575.0,34.0,114105094.97142914,0.019446382023754236,31695.85971428587
-0.010348406475974702,2.1062703132629395,113,523.0,6.0,21604831.178602375,0.010348406475974702,6001.341994056215
-0.019815137028990105,19.06302762031555,114,285.0,52.0,325176037.0177507,0.019815137028990105,90326.67694937519
-0.004119043873335452,0.7640151977539062,115,164.0,86.0,5144711.344868287,0.004119043873335452,1429.0864846856355
-0.02016580624670076,21.230918884277344,116,417.0,75.0,405295658.40737,0.02016580624670076,112582.12733538054
-0.020128588319018863,24.125892162322998,117,843.0,99.0,563407182.9932051,0.020128588319018863,156501.9952758903
-0.016798755160266566,5.04166579246521,118,437.0,94.0,49959995.04596043,0.016798755160266566,13877.776401655674
-0.018584582364184317,6.436659812927246,119,771.0,26.0,61994784.343844704,0.018584582364184317,17220.77342884575
-0.01912358304568245,7.593218088150024,120,359.0,83.0,71903501.98496251,0.01912358304568245,19973.19499582292
-0.019321105972447364,12.622770071029663,121,205.0,29.0,130421500.36431111,0.019321105972447364,36228.19454564198
-0.01959468783916625,18.674755811691284,122,892.0,67.0,271290919.22049695,0.01959468783916625,75358.58867236026
-0.02006374645372082,23.67859697341919,123,718.0,89.0,624358635.7694995,0.02006374645372082,173432.95438041654
-0.019889918361055553,19.932894706726074,124,492.0,55.0,351936200.2861177,0.019889918361055553,97760.05563503268
-0.019207339437651384,15.218483209609985,125,454.0,21.0,205144918.79415637,0.019207339437651384,56984.69966504344
-0.02000033961050405,21.922817945480347,126,548.0,49.0,498116685.4948257,0.02000033961050405,138365.74597078492
-0.014305386363254244,3.44039249420166,127,386.0,81.0,34848737.9882739,0.014305386363254244,9680.204996742748
-0.01908389323776981,15.680533409118652,128,652.0,72.0,171579231.85882849,0.01908389323776981,47660.89773856347
-0.01985472484870202,10.46189284324646,129,342.0,87.0,92480486.57029971,0.01985472484870202,25689.024047305476
-0.019259888886458396,18.763516664505005,130,97.0,100.0,302625714.21784467,0.019259888886458396,84062.69839384574
-0.015695864424869366,4.324303150177002,131,314.0,96.0,42875601.93190624,0.015695864424869366,11909.88942552951
-0.02010547778184075,20.750248432159424,132,181.0,84.0,416622851.19119793,0.02010547778184075,115728.56977533275
-0.017419966578871873,5.9038777351379395,133,410.0,93.0,56585775.26640788,0.017419966578871873,15718.270907335522
-0.01962798524360088,16.791990995407104,134,245.0,61.0,231146805.0772112,0.01962798524360088,64207.44585478089
-0.01883791450288619,14.514233589172363,135,144.0,77.0,155261640.00566328,0.01883791450288619,43128.233334906465
-0.0029627758564238233,0.6027529239654541,136,507.0,91.0,2804645.0466653137,0.0029627758564238233,779.0680685181427
-0.020051914366743966,22.493999004364014,137,624.0,64.0,491751141.7028705,0.020051914366743966,136597.53936190848
-0.01960691417657779,11.42007040977478,138,288.0,44.0,105074718.14560786,0.01960691417657779,29187.421707113295
-0.01945870214309774,7.958298683166504,139,231.0,74.0,76071078.53936738,0.01945870214309774,21130.85514982427
-0.007313562935353379,1.4216771125793457,140,592.0,98.0,14028375.770680672,0.007313562935353379,3896.771047411298
-0.020044424672788337,18.55490279197693,141,465.0,15.0,558870063.4334971,0.020044424672788337,155241.68428708252
-0.019335893565801468,15.924489259719849,142,347.0,69.0,191028684.7480497,0.019335893565801468,53063.523541124916
