loss,run_time,iteration,K,normalize_X,similarity,delta,ndcg,window_hours
-0.042919601016338,13.087416887283325,0,959.0,1,0,200220.5627421613,0.042919601016338,55.616822983933695
-0.07722340828491057,5.204301834106445,1,208.0,0,1,113334.25393384986,0.07722340828491057,31.481737203847185
-0.0840851394560196,7.26178503036499,2,578.0,1,1,82279.74975839854,0.0840851394560196,22.855486043999594
-0.03882682247320924,9.102007627487183,3,707.0,0,0,101211.64520725691,0.03882682247320924,28.114345890904698
-0.029227119300395357,8.705070495605469,4,490.0,1,1,355056.68227263703,0.029227119300395357,98.62685618684363
-0.03720555822934487,9.730056285858154,5,332.0,0,0,318657.63230394834,0.03720555822934487,88.51600897331899
-0.057462502551473435,4.280352354049683,6,86.0,1,0,97141.54802785943,0.057462502551473435,26.983763341072066
-0.03165010601322664,6.3750224113464355,7,148.0,0,0,550120.7102753782,0.03165010601322664,152.81130840982726
-0.03518382935990551,10.15572738647461,8,593.0,1,1,312445.94527053274,0.03518382935990551,86.79054035292576
-0.05735920096269433,6.739856243133545,9,265.0,1,0,126832.7339764317,0.05735920096269433,35.23131499345325
-0.03871329986157285,5.300017356872559,10,330.0,0,0,53596.24872100188,0.03871329986157285,14.887846866944967
-0.03918678208858247,4.947476148605347,11,574.0,0,0,33062.216700357974,0.03918678208858247,9.18394908343277
-0.10889972240214638,4.923006296157837,12,933.0,0,1,36286.854357204065,0.10889972240214638,10.079681765890019
-0.06247713786291967,4.298202991485596,13,138.0,0,1,144075.07793879,0.06247713786291967,40.02085498299722
-0.1092154926935934,4.781319618225098,14,440.0,0,1,32689.834633971364,0.1092154926935934,9.080509620547602
-0.036615955879465284,2.812549591064453,15,450.0,1,0,4741.400810403212,0.036615955879465284,1.317055780667559
-0.10966582940034292,4.764682769775391,16,449.0,0,1,26486.738992503768,0.10966582940034292,7.357427497917714
-0.03537368531521226,13.237663269042969,17,943.0,1,1,256367.1480890956,0.03537368531521226,71.21309669141544
-0.02891596932054514,11.350924968719482,18,682.0,1,1,483878.75363856653,0.02891596932054514,134.41076489960182
-0.042639352124522335,3.9413280487060547,19,111.0,0,1,221303.63112331336,0.042639352124522335,61.47323086758704
-0.1079061052238533,3.8348870277404785,20,414.0,0,1,12858.95447569053,0.1079061052238533,3.5719317988029253
-0.10927491053684923,3.9035916328430176,21,773.0,0,1,13496.905263306133,0.10927491053684923,3.74914035091837
-0.1024036407879185,3.4529411792755127,22,802.0,0,1,10213.940793114345,0.1024036407879185,2.8372057758650957
-0.109108226026714,4.079261064529419,23,854.0,0,1,14987.410119424016,0.109108226026714,4.1631694776177826
-0.08500064550853623,2.4013140201568604,24,697.0,0,1,1822.421551548937,0.08500064550853623,0.5062282087635936
-0.09095629461901096,2.960136890411377,25,801.0,0,1,5920.133052125275,0.09095629461901096,1.6444814033681319
-0.08929518436566895,2.628127336502075,26,650.0,0,1,3221.250645567471,0.08929518436566895,0.8947918459909642
-0.11054170219662154,4.6113646030426025,27,790.0,0,1,20603.770974438685,0.11054170219662154,5.723269715121857
-0.10967946693162037,4.786130666732788,28,879.0,0,1,25774.231039222763,0.10967946693162037,7.159508622006323
-0.10973806525786893,4.682166576385498,29,875.0,0,1,22303.791155303563,0.10973806525786893,6.195497543139878
-0.10414424660625439,5.90791916847229,30,1000.0,0,1,53770.41505482801,0.10414424660625439,14.93622640411889
-0.09825476580018239,3.2592151165008545,31,995.0,0,1,8399.93702489276,0.09825476580018239,2.333315840247989
-0.09921849567289563,6.736994743347168,32,893.0,0,1,61735.34647502817,0.09921849567289563,17.14870735417449
-0.11157051407234506,4.485566139221191,33,748.0,0,1,18739.357496488945,0.11157051407234506,5.20537708235804
-0.08810900410177132,2.493788957595825,34,626.0,0,1,2145.446021242667,0.08810900410177132,0.595957228122963
-0.11133442560430612,4.506774663925171,35,763.0,0,1,18856.903017612527,0.11133442560430612,5.23802861600348
-0.03752870217391518,3.039883613586426,36,536.0,1,0,6634.53968422939,0.03752870217391518,1.8429276900637195
-0.09056835946239135,2.685616970062256,37,729.0,0,1,3504.771065280638,0.09056835946239135,0.9735475181335106
-0.05806991500943513,7.434922218322754,38,740.0,1,0,74206.94732050876,0.05806991500943513,20.613040922363542
-0.11051948294099426,4.218202829360962,39,834.0,0,1,16042.138203778086,0.11051948294099426,4.4561495010494685
-0.027359447997923548,3.3503944873809814,40,545.0,0,0,9355.281305005612,0.027359447997923548,2.598689251390448
-0.09084688767719509,2.6182281970977783,41,605.0,1,1,3312.276969393062,0.09084688767719509,0.9200769359425172
-0.10774665745018946,5.098115682601929,42,664.0,0,1,44773.61154429226,0.10774665745018946,12.437114317858962
-0.03991242657884799,9.695775270462036,43,490.0,0,0,158158.0915302352,0.03991242657884799,43.93280320284311
-0.08220960528601799,6.43554949760437,44,372.0,1,1,89317.50141000519,0.08220960528601799,24.810417058334775
-0.038983930653000855,4.385931730270386,45,203.0,0,0,37298.40809998799,0.038983930653000855,10.36066891666333
-0.11183824555115968,4.555226802825928,46,921.0,0,1,18629.424601554143,0.11183824555115968,5.174840167098373
-0.09015605585202065,2.912332773208618,47,919.0,1,1,5235.267780251597,0.09015605585202065,1.4542410500698881
-0.03151451403601895,3.568007469177246,48,971.0,0,0,10731.835243092093,0.03151451403601895,2.9810653453033593
-0.09636161604986293,3.1916921138763428,49,834.0,0,1,8099.004581878715,0.09636161604986293,2.2497234949663096
-0.08717777767668565,2.7698285579681396,50,928.0,0,1,4402.017816043135,0.08717777767668565,1.2227827266786486
-0.07815217887534374,9.720471858978271,51,961.0,1,1,115110.13041492054,0.07815217887534374,31.975036226366818
-0.020287381601082004,2.5650525093078613,52,305.0,0,0,2610.9656379714365,0.020287381601082004,0.7252682327698435
-0.09263617729252609,7.062391519546509,53,631.0,0,1,73071.79189282638,0.09263617729252609,20.29771997022955
-0.1096190997583753,4.790550708770752,54,496.0,1,1,30451.002265563795,0.1096190997583753,8.458611740434387
-0.031175467675517828,10.207244157791138,55,565.0,0,1,460029.51283816,0.031175467675517828,127.78597578837777
-0.10709664673978428,5.291032552719116,56,719.0,0,1,47159.32806287198,0.10709664673978428,13.099813350797772
-0.03756583916674222,4.391433954238892,57,902.0,0,0,16742.471113297495,0.03756583916674222,4.650686420360415
-0.10871644873114869,2.8434948921203613,58,57.0,0,1,26658.208003927335,0.10871644873114869,7.405057778868704
-0.0943424083896678,3.1147172451019287,59,853.0,1,1,7347.052366014442,0.0943424083896678,2.040847879448456
-0.1061799171326825,3.6202099323272705,60,761.0,0,1,11453.889354828067,0.1061799171326825,3.181635931896685
-0.04218756684073563,11.031157970428467,61,682.0,0,1,196087.63601661255,0.04218756684073563,54.468787782392376
-0.03781879430986996,5.078064918518066,62,803.0,0,0,43127.70900351869,0.03781879430986996,11.97991916764408
-0.10922201374169586,3.8138787746429443,63,985.0,0,1,13229.835091830053,0.10922201374169586,3.6749541921750146
-0.10126294780078102,5.891700983047485,64,584.0,1,1,57299.92448048684,0.10126294780078102,15.916645689024124
-0.11085298382271973,4.522149085998535,65,772.0,0,1,19210.107129379594,0.11085298382271973,5.33614086927211
-0.10970987320553206,4.704639196395874,66,702.0,0,1,22385.100865436765,0.10970987320553206,6.218083573732435
-0.11120537092478665,4.499524354934692,67,827.0,0,1,19027.697671489845,0.11120537092478665,5.285471575413846
-0.10859819443372093,4.932429313659668,68,747.0,0,1,37655.59800203152,0.10859819443372093,10.459888333897643
-0.10919244167544474,5.00907564163208,69,858.0,0,1,28406.382617193547,0.10919244167544474,7.8906618381093185
-0.0859229217670832,2.7309813499450684,70,412.0,0,1,4260.357678054216,0.0859229217670832,1.1834326883483934
-0.09070100210125583,2.9459750652313232,71,954.0,0,1,5752.813347563757,0.09070100210125583,1.5980037076565992
-0.11016848976499066,4.157106161117554,72,658.0,0,1,15639.97282467976,0.11016848976499066,4.344436895744378
-0.10143057311761525,3.358485698699951,73,607.0,0,1,9349.16857694139,0.10143057311761525,2.5969912713726084
-0.1097739960471622,4.775152683258057,74,909.0,0,1,24677.630442719244,0.1097739960471622,6.85489734519979
-0.0929199557354529,3.0475823879241943,75,795.0,0,1,6808.846186412822,0.0929199557354529,1.8913461628924506
-0.090709505814389,6.738208770751953,76,487.0,0,1,74770.47880236547,0.090709505814389,20.76957744510152
-0.10691746698109636,3.7278101444244385,77,879.0,0,1,12336.910543105101,0.10691746698109636,3.4269195953069724
-0.10904377600352284,4.873920440673828,78,683.0,0,1,33934.60565127773,0.10904377600352284,9.426279347577147
-0.0513314884638185,4.081409692764282,79,821.0,1,0,14567.198438198991,0.0513314884638185,4.046444010610831
-0.09604637505645586,6.812184810638428,80,753.0,0,1,66907.96161504561,0.09604637505645586,18.585544893068224
-0.0810671005967086,8.459500789642334,81,722.0,0,1,93947.91989041722,0.0810671005967086,26.096644414004786
-0.03816984373069246,4.514899253845215,82,560.0,0,0,17751.700210435607,0.03816984373069246,4.931027836232113
-0.10298348240434932,3.4265339374542236,83,521.0,0,1,9708.021019402078,0.10298348240434932,2.6966725053894662
-0.1058071275873219,5.555765390396118,84,974.0,1,1,49608.30214845751,0.1058071275873219,13.780083930127086
-0.07387255079812971,9.176393747329712,85,622.0,0,1,134156.58979099058,0.07387255079812971,37.26571938638627
-0.02013134416409845,2.5915145874023438,86,940.0,0,0,2634.2850823988824,0.02013134416409845,0.7317458562219118
-0.10969023935660432,4.7456583976745605,87,649.0,0,1,22452.508242730477,0.10969023935660432,6.23680784520291
-0.09637955841501933,3.2210776805877686,88,1000.0,1,1,7931.3431919059,0.09637955841501933,2.203150886640528
-0.07821714831756711,5.388800859451294,89,235.0,0,1,108608.52448611503,0.07821714831756711,30.169034579476396
-0.10801442150545157,5.078781604766846,90,777.0,0,1,41988.43472499066,0.10801442150545157,11.663454090275183
-0.038912671460065246,4.891030788421631,91,858.0,0,0,31426.006322572717,0.038912671460065246,8.729446200714644
-0.09267918324775266,2.993558645248413,92,882.0,0,1,6242.507974007913,0.09267918324775266,1.7340299927799758
-0.048674157714503875,10.794440031051636,93,813.0,1,1,167824.6322737272,0.048674157714503875,46.61795340936867
-0.1080856990717291,4.990140438079834,94,517.0,0,1,39960.20372666005,0.1080856990717291,11.100056590738903
-0.019468453731948734,2.8215129375457764,95,471.0,0,0,4087.6588738920846,0.019468453731948734,1.1354607983033569
-0.10531464837935144,3.6434006690979004,96,374.0,0,1,11159.88727006505,0.10531464837935144,3.0999686861291806
-0.08962571793240662,2.848404884338379,97,690.0,1,1,4890.182331064629,0.08962571793240662,1.3583839808512856
-0.03220938566135626,15.098486185073853,98,925.0,0,1,327992.7572835745,0.03220938566135626,91.10909924543736
-0.11095915338433353,4.603755950927734,99,840.0,0,1,20183.544038027903,0.11095915338433353,5.6065400105633065
-0.019787458494788367,2.722362995147705,100,786.0,0,0,3793.7725299353297,0.019787458494788367,1.0538257027598137
-0.08859894094100072,2.46138596534729,101,713.0,0,1,2033.9833202759912,0.08859894094100072,0.5649953667433308
-0.11081656852717142,4.755083084106445,102,592.0,1,1,23762.046621724327,0.11081656852717142,6.600568506034535
-0.08883758440262214,2.6266493797302246,103,421.0,0,1,2888.7002730845647,0.08883758440262214,0.8024167425234902
-0.10907307750617623,4.016494274139404,104,639.0,0,1,14104.990737591708,0.10907307750617623,3.9180529826643635
-0.1092346076152224,4.828315019607544,105,730.0,0,1,28101.81783795132,0.1092346076152224,7.806060510542033
-0.03777355523652803,15.011110067367554,106,946.0,0,0,264842.1456284279,0.03777355523652803,73.56726267456331
-0.10088621246651573,3.27305006980896,107,895.0,1,1,8691.781595759334,0.10088621246651573,2.414383776599815
-0.10672252823203256,3.7327358722686768,108,753.0,0,1,12454.279655711243,0.10672252823203256,3.4595221265864566
-0.10359296003408226,5.926896333694458,109,674.0,0,1,55165.31658191556,0.10359296003408226,15.3236990505321
-0.09071546241873239,2.946500778198242,110,981.0,0,1,5662.759459322618,0.09071546241873239,1.572988738700727
-0.040065089437208296,4.606450319290161,111,151.0,0,0,63581.87698291762,0.040065089437208296,17.661632495254896
-0.11157223047005807,4.476199626922607,112,872.0,0,1,17972.849638737294,0.11157223047005807,4.992458232982582
