loss,run_time,iteration,K,normalize_X,similarity,delta,ndcg,window_hours
-0.02520106726328731,13.388454675674438,0,161.0,0,1,380631705.98464787,0.02520106726328731,105731.02944017996
-0.02400907210147984,18.471444129943848,1,289.0,0,0,511621699.51551247,0.02400907210147984,142117.138754309
-0.02666663828550482,25.18752908706665,2,573.0,1,1,179224078.03859624,0.02666663828550482,49784.46612183229
-0.026868839823030698,26.020886659622192,3,572.0,1,1,510202244.4480738,0.026868839823030698,141722.8456800205
-0.024087645755636274,36.687840938568115,4,973.0,0,0,386073161.6351841,0.024087645755636274,107242.54489866225
-0.00929973845940755,2.2922539710998535,5,1000.0,1,0,5310806.194405439,0.00929973845940755,1475.2239428903997
-0.024103581154081878,25.12117028236389,6,506.0,0,0,371273292.64214146,0.024103581154081878,103131.47017837263
-0.01578620611410939,3.739902973175049,7,430.0,1,1,20201372.83304135,0.01578620611410939,5611.492453622597
-0.022259721767749055,10.108497142791748,8,962.0,1,1,44118745.532590486,0.022259721767749055,12255.207092386247
-0.03008947735117702,12.263186693191528,9,153.0,1,0,464385269.8128136,0.03008947735117702,128995.9082813371
-0.021011723014288705,10.393478155136108,10,818.0,0,1,44989258.4776783,0.021011723014288705,12497.016243799528
-0.01823809938222859,4.790628910064697,11,209.0,1,1,25233615.158138994,0.01823809938222859,7009.337543927499
-0.021673780776426666,13.79863166809082,12,758.0,0,1,55697413.85901165,0.021673780776426666,15471.503849725459
-0.023900867221097535,30.964317321777344,13,804.0,0,0,184829450.26555517,0.023900867221097535,51341.513962654215
-0.007163754088677447,2.1792232990264893,14,804.0,1,0,3103341.156326418,0.007163754088677447,862.0392100906716
-0.008449019944263038,2.355126142501831,15,980.0,1,1,4114936.2180395615,0.008449019944263038,1143.0378383443226
-0.017629279970062015,8.810207843780518,16,281.0,0,0,52203119.820782796,0.017629279970062015,14500.86661688411
-0.02508426560205344,28.30692172050476,17,600.0,0,1,427037571.7813582,0.02508426560205344,118621.54771704394
-0.01585973587652093,3.2550368309020996,18,232.0,0,1,16241965.379134564,0.01585973587652093,4511.657049759601
-0.010561073384719958,2.5321152210235596,19,345.0,1,1,6786881.185971555,0.010561073384719958,1885.2447738809876
-0.029116882558300496,8.596063137054443,20,89.0,1,0,152663790.956562,0.029116882558300496,42406.608599045
-0.028137313474091985,6.992851495742798,21,68.0,1,0,117621974.39923665,0.028137313474091985,32672.770666454624
-0.027719269263520353,6.722448825836182,22,65.0,1,0,107758796.61845535,0.027719269263520353,29932.999060682043
-0.02943624657062973,10.411247253417969,23,120.0,1,0,202873927.1981057,0.02943624657062973,56353.86866614047
