loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.02869076946588088,88.24820518493652,31,691.0,98.0,206188152.79783064,0.02869076946588088,57274.48688828629
-0.02554525922274377,35.94560694694519,32,472.0,84.0,51348352.724865645,0.02554525922274377,14263.431312462679
-0.009841934114824095,5.159871578216553,33,598.0,97.0,6267349.272476447,0.009841934114824095,1740.9303534656797
-0.028724909692019268,88.5854012966156,34,689.0,83.0,213309373.88614184,0.028724909692019268,59252.60385726162
-0.02352273694849042,27.11595892906189,35,376.0,67.0,37942712.83453541,0.02352273694849042,10539.642454037614
-0.026602243369054063,47.394824743270874,36,739.0,84.0,64443695.13143293,0.026602243369054063,17901.026425398035
-0.028630735871429305,75.04661464691162,37,576.0,92.0,115366753.04866414,0.028630735871429305,32046.320291295593
-0.0287664542249721,88.17984294891357,38,494.0,72.0,414797459.0003976,0.0287664542249721,115221.51638899934
-0.028746576889323625,86.76346230506897,39,496.0,63.0,416763213.0974611,0.028746576889323625,115767.5591937392
-0.02869513892051705,82.53006219863892,40,418.0,75.0,162226040.0112263,0.02869513892051705,45062.7888920073
-0.028427178374710538,70.52201509475708,41,260.0,72.0,109389712.5440483,0.028427178374710538,30386.031262235636
-0.021979934068049947,22.634419441223145,42,340.0,54.0,31890964.164631866,0.021979934068049947,8858.601156842185
-0.02872956814138755,87.94074010848999,43,787.0,62.0,624443860.935624,0.02872956814138755,173456.62803767333
-0.027089516882311645,51.904223918914795,44,514.0,89.0,73389314.03358473,0.027089516882311645,20385.920564884647
-0.028778870463402693,89.50020408630371,45,637.0,97.0,389135889.17301637,0.028778870463402693,108093.3025480601
-0.028677094368941267,85.95314955711365,46,935.0,97.0,165125603.06642857,0.028677094368941267,45868.22307400794
-0.02461465952241709,31.59697723388672,47,842.0,88.0,45736286.27398215,0.02461465952241709,12704.523964995042
-0.028350583740567085,68.26355791091919,48,646.0,100.0,96192541.12894025,0.028350583740567085,26720.150313594517
-0.028774116899270757,87.6214246749878,49,732.0,78.0,272759422.95353305,0.028774116899270757,75766.50637598141
-0.011241566206065064,5.890942573547363,50,909.0,77.0,8104412.073978327,0.011241566206065064,2251.225576105091
-0.02872869129524565,86.79931616783142,51,728.0,94.0,192274571.28520486,0.02872869129524565,53409.60313477913
-0.02860752670365404,81.21801590919495,52,831.0,80.0,140046030.78269204,0.02860752670365404,38901.67521741446
-0.020423783592925755,18.68945550918579,53,928.0,63.0,25703811.539687883,0.020423783592925755,7139.947649913301
-0.028733284225982907,86.23203158378601,54,782.0,49.0,387492534.4271137,0.028733284225982907,107636.8151186427
-0.02877886898117217,89.65997958183289,55,704.0,100.0,479485326.3077905,0.02877886898117217,133190.3684188307
-0.028516900955898997,69.5268874168396,56,611.0,9.0,556745449.2853702,0.028516900955898997,154651.5136903806
-0.006288263571330557,3.1681551933288574,57,877.0,55.0,2914237.881069774,0.006288263571330557,809.5105225193817
-0.028710912987041953,86.39597702026367,58,966.0,44.0,481637190.8546795,0.028710912987041953,133788.1085707443
-0.028675857930924132,88.80963444709778,59,688.0,88.0,342725279.5757786,0.028675857930924132,95201.46654882739
-0.028649333528446196,80.99675345420837,60,814.0,34.0,179313191.06973517,0.028649333528446196,49809.2197415931
-0.02735501467224727,51.73334097862244,61,410.0,26.0,78674322.59844789,0.02735501467224727,21853.978499568857
