loss,run_time,iteration,K,max_steps,delta,ndcg,window_hours
-0.09125060701640964,23.345012187957764,0,845.0,95.0,58477.60342585552,0.09125060701640964,16.243778729404312
-0.07113731787593057,6.9064109325408936,1,924.0,82.0,9626.832717961659,0.07113731787593057,2.674120199433794
-0.07736791834249221,62.56279993057251,2,711.0,95.0,183381.77400675137,0.07736791834249221,50.93938166854205
-0.0722685290712528,105.10502004623413,3,420.0,7.0,505860.28160773666,0.0722685290712528,140.51674489103797
-0.09028174111690702,30.953822135925293,4,336.0,80.0,79141.27224716528,0.09028174111690702,21.98368673532369
-0.06947270079641009,6.147381782531738,5,403.0,12.0,8307.696754924476,0.06947270079641009,2.307693543034577
-0.0864724536255525,17.77340316772461,6,494.0,41.0,48739.6660672964,0.0864724536255525,13.538796129804556
-0.08682414513904628,38.15212368965149,7,266.0,66.0,107282.92352487796,0.08682414513904628,29.800812090243877
-0.06411547622296654,4.237868547439575,8,860.0,18.0,3870.2170966224444,0.06411547622296654,1.0750603046173457
-0.06413592378740682,4.406534910202026,9,853.0,15.0,4046.7694891669585,0.06413592378740682,1.1241026358797106
-0.08974067361876621,21.319231748580933,10,188.0,87.0,55539.805695470895,0.08974067361876621,15.427723804297472
-0.07605001005379387,9.209243059158325,11,660.0,53.0,13637.115197575122,0.07605001005379387,3.788087554881978
-0.08488651452435006,14.86678409576416,12,768.0,21.0,31292.265140424483,0.08488651452435006,8.692295872340134
-0.09129759024882667,23.099440574645996,13,889.0,52.0,58255.6954476536,0.09129759024882667,16.182137624348222
-0.0749336733392136,8.598851203918457,14,547.0,90.0,12275.729451782161,0.0749336733392136,3.409924847717267
-0.063612067113917,4.118586540222168,15,895.0,35.0,3608.0927649124865,0.063612067113917,1.0022479902534684
-0.08483277912776874,14.653704404830933,16,155.0,37.0,35453.78141715825,0.08483277912776874,9.848272615877292
-0.08443976388073537,14.225358486175537,17,747.0,83.0,24368.22932398788,0.08443976388073537,6.768952589996633
-0.07074719403235297,6.9507668018341064,18,632.0,8.0,9822.23078801516,0.07074719403235297,2.7283974411153222
-0.07143960159660125,7.3650453090667725,19,849.0,36.0,10474.131902749265,0.07143960159660125,2.9094810840970178
-0.07457495975086088,85.53180193901062,20,988.0,69.0,262908.08170208277,0.07457495975086088,73.03002269502299
-0.07984383301847843,55.969910860061646,21,963.0,58.0,164089.05607467363,0.07984383301847843,45.580293354076005
-0.0818809913795999,13.175859928131104,22,990.0,73.0,21094.214294247828,0.0818809913795999,5.859503970624397
-0.07367235062610313,147.91750979423523,23,58.0,99.0,435173.0499683274,0.07367235062610313,120.88140276897983
-0.09078573326782742,29.2752103805542,24,791.0,26.0,72745.92107411195,0.09078573326782742,20.20720029836443
-0.08680155040546833,39.59257411956787,25,587.0,59.0,108745.14491707807,0.08680155040546833,30.206984699188354
-0.056725889633094446,3.394697427749634,26,668.0,45.0,1838.8509657589698,0.056725889633094446,0.5107919349330472
-0.07755939127326485,61.36895489692688,27,802.0,29.0,180505.8995409552,0.07755939127326485,50.140527650265334
-0.07385697235555799,113.89421725273132,28,929.0,47.0,337006.394361175,0.07385697235555799,93.61288732254862
-0.08134840314089349,12.087735652923584,29,919.0,78.0,18792.498142039138,0.08134840314089349,5.220138372788649
-0.08514240144279861,15.103996753692627,30,724.0,99.0,37756.2385271746,0.08514240144279861,10.487844035326278
-0.08637896672331778,40.94411563873291,31,994.0,93.0,129254.32274570338,0.08637896672331778,35.90397854047316
-0.0906856867065924,28.5230770111084,32,479.0,64.0,71449.77623225623,0.0906856867065924,19.84716006451562
-0.0657446536518293,5.059697866439819,33,591.0,74.0,5695.452511968206,0.0657446536518293,1.5820701422133905
-0.07431966860403444,88.46131038665771,34,423.0,55.0,269798.0948477501,0.07431966860403444,74.94391523548613
-0.08500886695813176,16.285188913345337,35,691.0,86.0,44790.82417515017,0.08500886695813176,12.44189560420838
-0.09202380783080025,24.693520307540894,36,833.0,61.0,61236.374669040175,0.09202380783080025,17.01010407473338
-0.0736626171867358,156.72285866737366,37,832.0,49.0,580085.5483871313,0.0736626171867358,161.13487455198091
-0.08477526161110954,14.548381805419922,38,304.0,62.0,27555.865701246974,0.08477526161110954,7.65440713923527
-0.0802248821632793,10.986234188079834,39,900.0,44.0,16598.592826763164,0.0802248821632793,4.610720229656435
-0.08831473293494363,37.2911651134491,40,947.0,69.0,100655.19676484364,0.08831473293494363,27.959776879123233
-0.09001952165574582,20.813363790512085,41,617.0,52.0,54117.35563698291,0.09001952165574582,15.032598788050809
-0.0658306378697698,5.555004596710205,42,528.0,29.0,6651.663533109604,0.0658306378697698,1.8476843147526678
-0.08966255140936899,34.231871604919434,43,723.0,40.0,89964.49071994708,0.08966255140936899,24.99013631109641
-0.08282604539595381,48.05125570297241,44,798.0,22.0,148497.02016968338,0.08282604539595381,41.24917226935649
-0.07452047722244598,84.97870230674744,45,368.0,78.0,265359.9846278726,0.07452047722244598,73.71110684107572
-0.057183791637349865,3.4759068489074707,46,883.0,68.0,2076.4305859253595,0.057183791637349865,0.5767862738681554
-0.09204479456982113,24.6119384765625,47,465.0,57.0,61695.24214943959,0.09204479456982113,17.13756726373322
-0.08274435449725136,14.741590023040771,48,250.0,2.0,42597.090463449014,0.08274435449725136,11.832525128735837
-0.07644643483209762,67.04639291763306,49,455.0,74.0,210441.09647792456,0.07644643483209762,58.45586013275682
-0.07621705385331834,8.782993078231812,50,91.0,60.0,13447.691906848655,0.07621705385331834,3.7354699741246264
-0.08485842014945434,14.821049213409424,51,392.0,32.0,29103.920974788656,0.08485842014945434,8.084422492996849
-0.09213151128757513,26.65437388420105,52,219.0,41.0,67669.24688697369,0.09213151128757513,18.79701302415936
-0.07341944965055643,127.07824563980103,53,184.0,16.0,443245.7137197371,0.07341944965055643,123.12380936659363
-0.076192802976458,67.4940972328186,54,246.0,41.0,219272.7447993855,0.076192802976458,60.90909577760708
-0.0838845180665454,13.41201114654541,55,125.0,10.0,22903.47415257148,0.0838845180665454,6.362076153492079
-0.061146629394785344,3.947438955307007,56,314.0,23.0,2854.1602580221506,0.061146629394785344,0.7928222938950419
-0.08642265731688566,39.02382683753967,57,203.0,57.0,121121.16205809356,0.08642265731688566,33.64476723835932
-0.08782220692018639,30.310725688934326,58,351.0,3.0,83014.0447281227,0.08782220692018639,23.05945686892297
-0.07387649634904184,113.67981910705566,59,278.0,34.0,347023.80403158115,0.07387649634904184,96.39550111988365
-0.08042593132971614,10.580639600753784,60,71.0,39.0,16838.17217200242,0.08042593132971614,4.677270047778451
-0.06915702805129992,6.056561708450317,61,491.0,49.0,8111.284554309599,0.06915702805129992,2.253134598419333
-0.08570544318200092,41.79723405838013,62,227.0,44.0,136781.53531779052,0.08570544318200092,37.99487092160848
-0.08514421542438225,15.14866828918457,63,551.0,19.0,37822.63501457366,0.08514421542438225,10.506287504048238
-0.09186462039896279,26.594951629638672,64,138.0,55.0,68578.90362044208,0.09186462039896279,19.0496954501228
-0.09155063922062158,22.9250648021698,65,425.0,65.0,58013.99062653833,0.09155063922062158,16.114997396260648
