loss,run_time,iteration,fit_decay,K,decay_interval,delta,ndcg,window_hours
-0.12065467768795257,12.104043006896973,0,0.29263167079162256,218.0,84989.0,2138.7705780985643,0.12065467768795257,0.5941029383607123
-0.043894432647983095,75.14124989509583,1,0.7199556838076006,246.0,26217.0,166868.04652754762,0.043894432647983095,46.352235146541005
-0.035731977110973444,85.18519806861877,2,0.05395623701474894,425.0,1696.0,207760.40943516933,0.035731977110973444,57.71122484310259
-0.030820492160852957,89.66141271591187,3,0.4386080741626396,573.0,64294.0,236542.81412408216,0.030820492160852957,65.7063372566895
-0.12826738169683258,13.913468837738037,4,0.514644097420584,266.0,81196.0,3309.8026077695536,0.12826738169683258,0.9193896132693204
-0.1357874085747385,32.81493020057678,5,0.9393179369987446,578.0,3916.0,35686.94476978976,0.1357874085747385,9.91304021383049
-0.1372949974364254,31.211023092269897,6,0.8583120843104979,859.0,10228.0,21199.02557723787,0.1372949974364254,5.888618215899408
-0.13489105550073063,15.446107149124146,7,0.28383066167266047,117.0,71822.0,5398.4279311230175,0.13489105550073063,1.4995633142008382
-0.037923715050579204,86.10976886749268,8,0.5338552296103789,954.0,55531.0,182062.63261952566,0.037923715050579204,50.57295350542379
-0.06613556580496381,67.71838998794556,9,0.3391066489406763,623.0,10611.0,115025.40177458494,0.06613556580496381,31.951500492940262
-0.13413268343559806,30.033676147460938,10,0.02389418966502921,885.0,58781.0,37764.43325104301,0.13413268343559806,10.490120347511947
-0.12285498501745608,12.137547016143799,11,0.5916119824751097,65.0,1588.0,2541.884544631434,0.12285498501745608,0.7060790401753984
-0.11844963432991662,49.235313177108765,12,0.8620020196007333,760.0,22108.0,63980.44017140494,0.11844963432991662,17.772344492056927
-0.1346281946253004,15.476408958435059,13,0.6878988272697918,285.0,77508.0,5168.258399463165,0.1346281946253004,1.4356273331842124
-0.022341840952730153,113.07216691970825,14,0.642026971762547,733.0,81387.0,353293.32174883474,0.022341840952730153,98.13703381912076
-0.1355328954729732,31.47583794593811,15,0.7250396895851594,475.0,51598.0,39385.6685443725,0.1355328954729732,10.940463484547916
-0.13914118934321268,20.802488088607788,16,0.5459913882713601,640.0,2154.0,9205.035755243385,0.13914118934321268,2.556954376456496
-0.1217037680238366,47.58531880378723,17,0.7429430616376259,954.0,69628.0,61357.34649561781,0.1217037680238366,17.043707359893837
-0.13901956187395323,26.22981905937195,18,0.7970038860580291,977.0,8495.0,16414.121342018385,0.13901956187395323,4.559478150560662
-0.12571205765151988,13.079211950302124,19,0.11750011793694515,873.0,5168.0,3187.8909049657123,0.12571205765151988,0.8855252513793646
-0.1416340587700977,24.04503870010376,20,0.9839518490400482,731.0,35298.0,12329.055310971873,0.1416340587700977,3.424737586381076
-0.14107430755966355,21.329636096954346,21,0.9927173535695009,696.0,38124.0,10531.475318914234,0.14107430755966355,2.9254098108095095
-0.14015044011081776,20.065292835235596,22,0.974708011172069,722.0,35566.0,9592.856395011773,0.14015044011081776,2.6646823319477146
-0.1411226478784937,24.771507024765015,23,0.9819931725800456,408.0,42823.0,14608.456089053885,0.1411226478784937,4.057904469181635
-0.13834047415429057,27.070163011550903,24,0.9030217313583053,432.0,45317.0,18454.13449857697,0.13834047415429057,5.1261484718269354
-0.1418522784195295,34.37331414222717,25,0.9944576211367381,357.0,27045.0,13867.444031136294,0.1418522784195295,3.8520677864267485
-0.1358718830978655,15.596879243850708,26,0.8201368575452612,335.0,21541.0,5601.798332668466,0.1358718830978655,1.5560550924079073
-0.11309525925508102,47.488120794296265,27,0.42803120146792306,173.0,31728.0,64843.4105820417,0.11309525925508102,18.012058495011583
-0.1348090851091165,28.986006021499634,28,0.20205322235443657,351.0,16795.0,26564.497903141593,0.1348090851091165,7.379027195317109
-0.12220161585652325,11.350834846496582,29,0.9193413722666554,494.0,29273.0,1845.43673565285,0.12220161585652325,0.512621315459125
-0.13827332256509148,17.3446307182312,30,0.7947632424526418,804.0,47059.0,7295.851048333907,0.13827332256509148,2.026625291203863
-0.09755082180968999,59.534790992736816,31,0.9994694293307239,168.0,37722.0,96128.37561714328,0.09755082180968999,26.702326560317577
-0.14154311007011974,23.024960041046143,32,0.636930947240787,575.0,17105.0,12634.499557892204,0.14154311007011974,3.509583210525612
-0.13630086528591756,28.47676706314087,33,0.46144768614830967,648.0,25734.0,26037.36664211175,0.13630086528591756,7.232601845031041
-0.021827254974227106,123.07688403129578,34,0.882572319613201,541.0,31964.0,564175.4568635529,0.021827254974227106,156.71540468432025
-0.1296479577524316,13.843427896499634,35,0.7736319259205655,348.0,41742.0,3694.3543064029345,0.1296479577524316,1.0262095295563707
