loss,run_time,iteration,K,predict_decay,similarity,delta,ndcg,window_hours
-0.0026196366904627545,6.281780958175659,0,419.0,0.011713715066789088,1,97150.82859416264,0.0026196366904627545,26.98634127615629
-0.0012147906089442656,4.020451784133911,1,875.0,0.0025227213218329348,1,4014.962329988362,0.0012147906089442656,1.1152673138856561
-0.0010127983746139775,4.0667665004730225,2,354.0,0.0006874047539994592,0,2003.088546636684,0.0010127983746139775,0.5564134851768566
-0.04035928624200304,21.72859811782837,3,966.0,2.499142562876066e-06,1,141703.0682170266,0.04035928624200304,39.361963393618495
-0.0052654864813042115,4.566928148269653,4,811.0,1.3987592302542662e-05,0,4579.708594151719,0.0052654864813042115,1.2721412761532553
-2.3411823949032673e-05,4.320382595062256,5,909.0,0.25425894379491554,0,19107.22262824645,2.3411823949032673e-05,5.307561841179569
-0.00010779424048832316,4.709571599960327,6,441.0,0.08250834605530268,1,28548.55162979107,0.00010779424048832316,7.9301532304975195
-0.05901532569643698,84.28515934944153,7,891.0,5.7828533820229146e-05,1,2737814.710856722,0.05901532569643698,760.5040863490894
-0.01841200098358313,8.716554880142212,8,495.0,1.5689927431010784e-10,1,27404.035827539847,0.01841200098358313,7.612232174316624
-0.021852599680206346,19.530791521072388,9,889.0,0.0009941003134183322,0,282809.10112613323,0.021852599680206346,78.55808364614812
-0.022929651207818973,22.2731032371521,10,481.0,0.001564367309489299,1,620913.8621754263,0.022929651207818973,172.4760728265073
-0.008143898733958524,5.23206353187561,11,704.0,8.286120085228839e-10,1,9227.25156977122,0.008143898733958524,2.5631254360475615
-0.010068457651573567,37.61657381057739,12,495.0,0.00534394807056883,0,6387132.824564042,0.010068457651573567,1774.2035623789004
-2.3548526964797135e-05,5.3344948291778564,13,173.0,0.6702629049306555,1,56391.45477246141,2.3548526964797135e-05,15.664292992350392
-0.01490745415583289,10.971679210662842,14,141.0,4.657345717006024e-09,0,52035.59911452355,0.01490745415583289,14.454333087367653
-8.86924600076211e-05,15.221025228500366,15,926.0,0.1374434415299697,0,337276.63399343006,8.86924600076211e-05,93.68795388706391
-0.030888695713083954,16.434389352798462,16,544.0,7.542822159694511e-10,1,107794.47753843878,0.030888695713083954,29.942910427344103
-0.0316812600860575,14.28448748588562,17,200.0,3.8442894939094683e-08,1,110753.89444056763,0.0316812600860575,30.76497067793545
-1.504407196457975e-05,3.9555816650390625,18,58.0,0.05478511344404443,0,1919.9506594971058,1.504407196457975e-05,0.5333196276380849
-0.00014082389379981133,41.398085832595825,19,643.0,0.14734047712455198,0,4867183.4854457965,0.00014082389379981133,1351.9954126238324
-0.05432934782530326,70.91403102874756,20,771.0,1.4055728808789737e-06,1,1650674.5611022182,0.05432934782530326,458.5207114172828
-0.05801285949981931,71.78353023529053,21,769.0,2.3293681431566893e-05,1,1829284.6913559134,0.05801285949981931,508.1346364877537
-0.058908076907814105,65.86214256286621,22,635.0,6.414575463007215e-05,1,2177792.441329994,0.058908076907814105,604.9423448138872
-0.05794849716311188,72.9942102432251,23,622.0,0.00010746427548167961,1,10384760.238596162,0.05794849716311188,2884.655621832267
-0.04880299595060914,88.35453796386719,24,988.0,1.4197065725832567e-07,1,2132139.3256308734,0.04880299595060914,592.2609237863537
-0.05613092699508192,31.405361652374268,25,296.0,0.0001455160531273915,1,1104050.0974089997,0.05613092699508192,306.680582613611
