loss,run_time,iteration,bptt,hidden_size,embedding_size,delta,ndcg,window_hours
-0.014388657044838589,960.5803666114807,0,4.0,166.0,70.0,86713758.52494514,0.014388657044838589,24087.155145818095
-0.009746747211099884,585.4118642807007,1,9.0,216.0,138.0,20782150.553758163,0.009746747211099884,5772.819598266156
-0.013650933772163372,684.6326005458832,2,3.0,249.0,216.0,30438249.26393076,0.013650933772163372,8455.069239980767
-0.001604555620666828,168.28183794021606,3,9.0,76.0,187.0,4940441.754183086,0.001604555620666828,1372.3449317175239
-0.010798039019592035,779.4799635410309,4,1.0,186.0,221.0,47238608.07606679,0.010798039019592035,13121.83557668522
-0.014570798008307254,1176.8230948448181,5,8.0,95.0,112.0,566014496.8661714,0.014570798008307254,157226.24912949203
-0.0011369738998646807,379.75794649124146,6,3.0,207.0,177.0,5214130.267120158,0.0011369738998646807,1448.3695186444884
-0.008838373827854362,481.3436439037323,7,4.0,106.0,237.0,48495123.99977351,0.008838373827854362,13470.867777714864
-0.012003658094202105,1922.5705013275146,8,4.0,190.0,153.0,514663320.6221323,0.012003658094202105,142962.03350614785
-0.013317293953907756,851.0640790462494,9,7.0,70.0,243.0,247678204.62037954,0.013317293953907756,68799.50128343876
-0.011538071886053061,234.5834424495697,10,2.0,91.0,153.0,16333941.609488418,0.011538071886053061,4537.206002635672
-0.010908254366817822,931.8835139274597,11,9.0,65.0,260.0,532813517.43051183,0.010908254366817822,148003.75484180884
-0.003115383934818846,320.5884382724762,12,3.0,175.0,208.0,5710442.2716972185,0.003115383934818846,1586.2339643603384
-0.0004376906851795324,1628.7872228622437,13,6.0,216.0,110.0,126630064.0250283,0.0004376906851795324,35175.01778473009
-0.012402003092138195,1129.8163304328918,14,8.0,145.0,181.0,108179968.13122192,0.012402003092138195,30049.991147561643
-0.013926528451784997,1344.7345058918,15,10.0,130.0,170.0,206657900.7524381,0.013926528451784997,57404.9724312328
-0.009859559309917196,908.3820343017578,16,3.0,152.0,242.0,88612953.2369523,0.009859559309917196,24614.70923248675
-0.0020277240952027644,280.57073855400085,17,4.0,151.0,185.0,2936560.607896571,0.0020277240952027644,815.7112799712697
-0.0021202666914681965,284.0943067073822,18,10.0,141.0,285.0,3669907.595612634,0.0021202666914681965,1019.418776559065
-0.01138787170241277,1364.7951102256775,19,5.0,111.0,249.0,568741097.5767565,0.01138787170241277,157983.63821576568
-0.012841080701919187,1168.5460228919983,20,6.0,120.0,63.0,343531734.7000325,0.012841080701919187,95425.48186112013
-0.011860908293628503,635.0388386249542,21,7.0,54.0,61.0,197227926.88461754,0.011860908293628503,54785.53524572709
-0.011650396343719654,824.5024311542511,22,5.0,167.0,86.0,68984978.12848717,0.011650396343719654,19162.49392457977
-0.00546834620624449,503.71452236175537,23,7.0,244.0,107.0,10938327.288369603,0.00546834620624449,3038.4242467693343
-0.01318344964120316,971.4314935207367,24,8.0,84.0,86.0,350896648.76687413,0.01318344964120316,97471.2913241317
-0.013926873973533876,872.1688203811646,25,1.0,96.0,51.0,150262110.30150127,0.013926873973533876,41739.47508375035
-0.013101429257259559,657.4046196937561,26,5.0,127.0,117.0,63998782.576116115,0.013101429257259559,17777.439604476698
